id,category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,status,highlight,create_date,create_time,show_on_front,description
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",AL,"Total Small Business Set-Aside (FAR 19.5): RETAINER, ROLLER, BE",Federal,,Department of Defense,10-Dec-22,Department of Defense,https://sam.gov/opp/241ee67bfb6641a790704c6ab2d70898/view,"SPRRA122R0010    		    		 ",Purchasing,,703-695-7145,Joshua.Bonds@DLA.Mil,,,,,,,"THERE IS NO SOLICITATION AVAILABLE AT THIS TIME. REQUEST FOR A SOLICITATION WILL NOT RECEIVE A RESPONSE. This Sources Sought Synopsis (SSS) is in support of Market Research being conducted by the Defense Logistics Agency to identify potential manufacturing/supply sources, and if future efforts can be competitive or Set Aside for Small Business. The proposed North American Industry Classification Systems (NAICS) Code is 332991 which has a corresponding Size Standard of 1250 employees. This SSS is to notify companies that the Defense Logistics Agency, Redstone Arsenal, Alabama, is seeking qualified sources for the acquisition of a RETAINER, ROLLER, BEA, NSN: 3110-01-170-2911, Part Number: 6035T26P02 in support of the UH-60 Blackhawk weapon system. The Government does not have adequate data, lacks rights to data, or both needed to purchase this part from additional sources. As a result, this acquisition is currently being procured under Federal Acquisition Regulation (FAR) 6.302-1(a)(1) having only a limited number of responsible sources. The Government is interested in all businesses to include 8(a), small business and small disadvantaged business, Service-Disabled Veteran-Owned, Hubzone, and Women-Owned small business concerns. All contractors must meet prequalification requirements in order to be registered as a potential source. Firms that possess the ability and can produce the required item(s) described above are encouraged to identify themselves. Contractors are encouraged to seek source approval in order to compete for future solicitations by emailing: usarmy.redstone.ccdc-avmc.mbx.ame-sar@mail.mil The contractor shall be capable of successfully performing and complying with any and all special requirements in accordance with the terms and conditions set forth in the solicitation annotated above, at the unit prices established at time of a contract award. The contractor will be responsible for recurring and nonrecurring engineering services associated with becoming a qualified source. The contractor will also be responsible for all aspects of the manufacturing/production process, including but not limited to: supply chain management, logistics, forecasting of parts, long-lead parts procurement, material forecasting, obsolescence issues and final delivery of assets as well as any and all additional costs incurred resulting from contract performance. DISCLAIMER: THIS SSS IS ISSUED SOLELY FOR INFORMATIONAL AND PLANNING PURPOSES. IT DOES NOT CONSTITUTE A SOLICITATION (REQUEST FOR PROPOSAL OR REQUEST FOR QUOTATION) OR A PROMISE TO ISSUE A SOLICITATION IN THE FUTURE AND SHALL NOT BE CONSTRUED AS A COMMITMENT BY THE GOVERNMENT. RESPONSES IN ANY FORM ARE NOT OFFERS AND THE GOVERNMENT IS UNDER NO OBLIGATION TO AWARD A CONTRACT AS A RESULT OF THIS ANNOUNCEMENT. NO FUNDS ARE AVAILABLE TO PAY FOR PREPARATION OF RESPONSES TO THIS ANNOUNCEMENT. ANY INFORMATION SUBMITTED BY RESPONDENTS TO THIS TECHNICAL DESCRIPTION IS STRICTLY VOLUNTARY. THIS ACQUISITION CONTAINS TECHNICAL DATA WHOSE EXPORT IS RESTRICTED BY THE ARMS EXPORT CONTROL ACT (TITLE 22, USC., SEC 2751 ET SEQ) OR THE EXPORT ADMINISTRATION ACT (TITLE 50, USC., APP 2401-2402) EXECUTIVE ORDER 12470. THIS INFORMATION CANNOT BE RELEASED OUTSIDE THE UNTIED STATES WITHOUT PRIOR APPROVAL OF THE GOVERNMENT."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",CA,Quotes for Gear Lockers,State/Local,,"San Diego County, California",8-Jun-22,"San Diego County, California",https://buynet.sdcounty.ca.gov/Solicitations/SolicitationDetail.aspx?SolicitationID=2936017&AID=1&RegUser=Guest, ,Purchasing,,858-694-2920,,,,,,,,GEAR LOCKERS
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",CA,Miscellaneous Line Hardware,State/Local,,"Redding, California",7-Jun-22,"Redding, California",https://www.cityofredding.org/Home/Components/RFP/RFP/4725/340,"5300	    		 ",Purchasing Office,,530-225-4135,,,,,,,,Furnish Miscellaneous Line Hardware
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",CA,Bids for 2 Inch Pipe Sign Hardware,State/Local,,"Sacramento, California",1-Jun-22,"Sacramento, California",,"B22151931033    		 ",Purchasing,,916-808-6240,,,,,,,,"2 Inch Pipe Sign Hardware

Frank Campos 916-808-4038
fcampos@cityofsacramento.org"
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",CA,Door Locks and Special Tools,State/Local,,"San Jose, California",Today ,"San Jose, California",https://www.sanjoseca.gov/your-government/departments/finance/purchasing/bid-opportunities,"PUR-RFQ2022.04.10065    		 ",Purchasing,,408-535-3500,,,,,,,,DOOR LOCKS (MANUAL/ELECTRIC) AND SPECIAL TOOLS (R)
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",CO,"Pueblo Water Works - Supply of Bolts, Nuts and Gaskets",State/Local,,"Board of Water Works of Pueblo, Colorado",7-Jun-22,"Board of Water Works of Pueblo, Colorado",https://pueblowater.org/purchasing/,"ITB-22-023    		 ",Purchasing Agent,,719-584-0203,,,,,,,,"ITB-22-023
Pueblo Water Works - Supply of Bolts, Nuts and Gaskets
Colorado
CalendarPublished 05/19/2022
ClockClosing 06/07/2022"
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",IL,2022 Advancing Equity in Procurement: Southern Illinois Small Disadvantaged Business Industry Day SAVE-THE-DATE,Federal,,Department of Defense,8-Jun-22,Department of Defense,https://sam.gov/opp/d738934d7a1e4a089659bc2cd2807a39/view,"13062022    		    		 ",Purchasing,,703-695-7145,763SCONS.SBP.SmallBusiness@us.af.mil,,,,,,,"SAVE-THE-DATE Southern Illinois University ? Edwardsville will host the 2022 Advancing Equity in Procurement:? Southern Illinois Small Disadvantaged Business Industry Day on Monday, June 13th, 2022 from 0745 -1600 CST at Southern Illinois University - Edwardsville. This event will provide training to local small disadvantaged businesses new to government contracting on how to effectively do business with state and federal agencies and will offer an opportunity to interact with and to hear from different government agencies on their best practices. Presentations/Training sessions will be provided by the following: Defense Information Systems Agency/Defense Information Technology Contracting Organization (DISA/DITCO) ? Scott AFB, IL 375th Contracting Squadron (375TH CONS) ? Scott AFB, IL United States Transportation Command (USTRANSCOM) ? Scott AFB, IL 763d Enterprise Sourcing Squadron (763 ESS) ? Scott AFB, IL Illinois Procurement Technical Assistance Center at Western Illinois University ? Columbia, IL Small Business Administration (SBA) ? Chicago-Springfield, IL Air Mobility Command Small Business Director ? Scott AFB, IL 375th Innovation Office ? Scott AFB, IL Southern Illinois University ? Edwardsville. ? Edwardsville, IL Training Sessions will focus on preparing new entrants on doing business with state and federal government agencies. Each Contracting organization will provide attendees with their latest acquisition forecast and much more! Panel Discussions will be held showcasing a variety of small and large businesses ? OBXtek Inc., C5T Corporation (C5T), CWS, and CDW Government LLC (CDW). A registration link will be provided in the future via event announcements and will allow up to 2 people per small business/organization to attend the Industry Day event. One-on-One meetings between Industry and Government will be offered in conjunction with the event. Additionally, this notice will be updated with details and presentation information as it becomes available."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",IN,Sources Sought? Bull Gears,Federal,,Department of Defense,1-Jul-22,Department of Defense,https://sam.gov/opp/f5534c55895e4456950ef208dc1e08a3/view,"N0016422SNB68    		    		 ",Purchasing,,703-695-7145,becky.a.divine.civ@us.navy.mil,,,,,,,"N0016422SNB68 ?Sources Sought? Bull Gears PSC J020? NAICS 332991 Issue Date: 27 May 2022? Closing Date: 1 July 2022? 4:00 PM EST The Government is issuing this Sources Sought as part of market research for the for the evaluation, overhaul and new manufacture of AN/SPS-49 Bull Gears (P/N 912001); AN/SPS- 48E Bull Gear Bearings (P/N 195983), and MK-82 Director Bull Gears (P/N 2907656); Follow on to N0016419DWP47. Naval Surface Warfare Center (NSWC) Crane is seeking information from companies that have the capability and facilities to evaluation, overhaul and new manufacture of AN/SPS-48, AN/SPS-49 and MK-82 Bull Gears. The Navy intends to solicit and negotiate this contract on a full and open competition IAW FAR 6.1. Delivery is required FOB Destination. Responses should include historical evidence of evaluating, overhauling and manufacturing AN/SPS-48, AN/SPS-49 and MK-82 Bull Gears. Responses should include availability, budgetary cost estimate, and lead times. All interested parties are encouraged to submit company and product literature, a white paper no longer than 2 pages, and/or other pertinent information. Responses to the Sources Sought shall include the following: Contractor's Name Street Address, City, State, Zip Code Business Size Cage Code Point of Contact (POC) POC Telephone POC email address Announcement Number: N0016422SNB68 At the current time, NO FUNDING IS AVAILABLE for contractual efforts. This Sources Sought is for market research purposes only and does NOT constitute a Request for Proposal or Invitation to Bid. This notice shall not be construed as a contract, a promise to contract, or as a commitment of any kind by the Government. The Government is NOT seeking or accepting unsolicited proposals. This Sources Sought is issued solely for informational, planning, and market research purposes in accordance with FAR Part 10. Contractors must be properly registered in the System for Award Management (SAM). Offerors may obtain information on SAM registration and annual confirmation requirements by calling 1- 866-606-8220 or via the internet at https://www.sam.gov. Contractors must be properly registered in the System for Award Management (SAM) and the Joint Certification Program (JCP) in order to receive the controlled attachments. Offerors may obtain information on SAM registration and annual confirmation requirements by calling 1-866- 606-8220 or via the internet at https://www.sam.gov. Information about the JCP is located at https://public.logisticsinformationservice.dla.mil/PublicHome/jcp/default.aspx . The controlled attachments will be posted at the same time the solicitation is posted. SUBMISSION OF RESPONSES: NSWC Crane will accept only electronic unclassified submission of responses. All responses must be submitted by close of business on July 1st, 2022. Questions or inquiries should be directed to Becky Divine, Code 0241, telephone 812- 854- 2593, NSWC Crane, Contracting Division, 300 Highway 361, Bldg 121, Code 0241, Crane, IN, 47522-5001, e-mail becky.a.divine.civ@us.navy.mil prior to the closing of this announcement. Please reference the above solicitation number when responding to this notice. All information marked as proprietary information will be safeguarded to prevent unauthorized disclosures. The U.S. Government is in no way liable to pay for or reimburse any companies, entities, or individuals that respond to this announcement. Any costs incurred by interested parties in response to this RFI announcement will NOT be reimbursed. All information marked as proprietary information will be safeguarded to prevent disclosures to non-Government personnel and entities. Your interest in the response is appreciated."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",MI,Tooling Supplies/Parts for Drill Rig,State/Local,,State of Michigan,7-Jun-22,State of Michigan,https://sigma.michigan.gov/webapp/PRDVSS2X1/AltSelfService," 220000002269    		 ",Purchasing Director,,517-335-0230,,,,,,,,"RFP for Tooling Supplies/Parts for Drill Rig
RFP -  761 -  220000002269


Environment, Great Lakes, and Energy


Request for Proposals(RFP)

Closing On :    	6/7/22 3:00 PM EDT"
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",MN,RR Brinks Cell Door Locks,State/Local,,State of Minnesota,6-Jun-22,State of Minnesota,https://www.mmd.admin.state.mn.us/process/admin/postings.asp,"2000013100    		 ",Procurement,,651.296.2600,,,,,,,,"REFERENCE NUMBER:   31631

PURCHASING AGENCY:   Corrections Department
SOLICITATION NUMBER:   2000013100
Solicitation Event Version: 1

TITLE:   RR Brinks Cell Door Locks, OPH


RESPONSE TO THIS SOLICITATION IS DUE NO LATER THAN 6/6/2022 AT 10:00 AM Central Time

SHIP TO INFORMATION:
MCF-OAK PARK HEIGHTS
5329 OSGOOD AVE N
STILLWATER, MN 55082-1117

This Solicitation Event is being conducted in the SWIFT system.
Log in to the Supplier Portal to view this event. You will need to search for Event ID 2000013100.

Date This Solicitation Was Posted:   5/25/2022 2:20:00 PM"
