category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,description
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"Historically Underutilized Business (HUBZone) Set-Aside (FAR 19.13): 25--BAG ASSEMBLY,PAMPHL",Federal,,Department of Defense,"Jun 15, 2022",Department of Defense,https://sam.gov/opp/f508a5a512044dc7b0c66699e33ab99c/view,"SPE7L122U2075    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2540006702459 BAG ASSEMBLY,PAMPHL: Line 0001 Qty 8376 UI EA Deliver To: By: 0063 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 1256. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Digitized drawings and Military Specifications and Standards may be retrieved, or ordered, electronically. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--VAPOR RECOVERY KIT,",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/1a1c1f354620475fb98c49d0d93619c0/view,"SPE7L122U2031    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2590001388434 VAPOR RECOVERY KIT,: Line 0001 Qty 6 UI EA Deliver To: By: 0083 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 6. The Guaranteed Minimum quantity will be 1. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Digitized drawings and Military Specifications and Standards may be retrieved, or ordered, electronically. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--YOKE,UNIVERSAL JOIN",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/bbfa9c46af66454baf1221c282c39f78/view,"SPE7L322U3114    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2520013412460 YOKE,UNIVERSAL JOIN: Line 0001 Qty 34 UI EA Deliver To: By: 0078 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 10. The Guaranteed Minimum quantity will be 5. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 72447 6.5-4-2561-1; 75Q65 1881410. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"26--VALVE,PNEUMATIC TIR",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/46c3619d4ede4367bbb31edce50ef88d/view,"SPE7L322U3117    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2640124010372 VALVE,PNEUMATIC TIR: Line 0001 Qty 92 UI EA Deliver To: By: 0067 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 13. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved source is 73808 S 7.00/200-15 F 750-74. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--VALVE,BRAKE PNEUMAT",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/569d511a2aec4544a98cb54b1b8e99c2/view,"SPE7L122U2040    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2530015037903 VALVE,BRAKE PNEUMAT: Line 0001 Qty 116 UI EA Deliver To: By: 0071 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 17. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 06853 00109999; 06853 276569N; 75Q65 6KP757. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--CUSHION,SEAT,VEHICU",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/5a12b2ba7e9a47e6b4355aedb9f808e2/view,"SPE7L322U3118    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2540015662406 CUSHION,SEAT,VEHICU: Line 0001 Qty 18 UI EA Deliver To: By: 0077 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 10. The Guaranteed Minimum quantity will be 2. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 3KHA7 105-203520-001; 4YJ37 105-203520-001. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--DISK,CLUTCH,VEHICUL",Federal,,Department of Defense,"Jun 10, 2022",Department of Defense,https://sam.gov/opp/17c0c3943ef743db93fa8820f8607bf7/view,"SPE7L322T687C    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2520015450047 DISK,CLUTCH,VEHICUL: Line 0001 Qty 71 UI EA Deliver To: DLA DISTRIBUTION ALBANY By: 0078 DAYS ADO Approved source is 75Q65 5HA303. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--DISK,CLUTCH,VEHICUL",Federal,,Department of Defense,"Jun 10, 2022",Department of Defense,https://sam.gov/opp/bcc3639e58f2497cae1976ba11704c4b/view,"SPE7L322T687J    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2520015450047 DISK,CLUTCH,VEHICUL: Line 0001 Qty 260 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0078 DAYS ADO Approved source is 75Q65 5HA303. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"25--COVER,FITTED,VEHICU",Federal,,Department of Defense,"Jun 10, 2022",Department of Defense,https://sam.gov/opp/940f2586200342aebc35fa6e343a9245/view,"SPE7L422T5483    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2540016967974 COVER,FITTED,VEHICU: Line 0001 Qty 21 UI EA Deliver To: W1A8 DLA DIST SAN JOAQUIN By: 0158 DAYS ADO The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Digitized drawings and Military Specifications and Standards may be retrieved, or ordered, electronically. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
" Equipment: Auto, OEM Parts, Vehicle Accessories Bids",OH,"Total Small Business Set-Aside (FAR 19.5): 25--CUSHION,SEAT BACK,V",Federal,,Department of Defense,"Jun 14, 2022",Department of Defense,https://sam.gov/opp/6ef07c6cddb64c578a8451ace538c4ee/view,"SPE7L122U2035    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,"Proposed procurement for NSN 2540007353551 CUSHION,SEAT BACK,V: Line 0001 Qty 138 UI EA Deliver To: By: 0077 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 20. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Digitized drawings and Military Specifications and Standards may be retrieved, or ordered, electronically. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
