category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,description
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Hazard Elimination and Safety - 14,State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0140-10-034_0622,"0140-10-034_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, CROCKETT, ETC CO, HAZARD ELIMINATION & SAFETY

Solicitation ID: 0140-10-034_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/29/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: CROCKETT, ETC
HIGHWAY: IH 10
TYPE: HAZARD ELIMINATION & SAFETY
EST. COST: $4,214,424.15"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Hazard Elimination and Safety - 091,State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0918-47-341_0622,"0918-47-341_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, DALLAS CO, HAZARD ELIMINATION & SAFETY

Solicitation ID: 0918-47-341_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/29/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: DALLAS
HIGHWAY: CS
TYPE: HAZARD ELIMINATION & SAFETY
EST. COST: $837,203.76"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Widen Road - Add Lanes - 01,State/Local,,State of Texas 2,"Jun 30, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0195-02-076_0622,"0195-02-076_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, DENTON CO, WIDEN ROAD - ADD LANES

Solicitation ID: 0195-02-076_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/30/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: DENTON
HIGHWAY: IH 35, ETC
TYPE: WIDEN ROAD - ADD LANES
EST. COST: $104,842,521.86"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Construct Ramps,State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0196-02-131_0622,"0196-02-131_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, DENTON CO, CONSTRUCT RAMPS

Solicitation ID: 0196-02-131_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/29/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: DENTON
HIGHWAY: IH 35E
TYPE: CONSTRUCT RAMPS
EST. COST: $2,404,986.76"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Highway Operations Program,State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0196-02-132_0622,"0196-02-132_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, DENTON CO, HIGHWAY OPERATIONS PROGRAM

Solicitation ID: 0196-02-132_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/29/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: DENTON
HIGHWAY: IH 35E
TYPE: HIGHWAY OPERATIONS PROGRAM
EST. COST: $12,041,702.58"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Hazard Elimination and Safety - 038,State/Local,,State of Texas 2,"Jun 30, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0382-01-047_0622,"0382-01-047_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, FALLS CO, HAZARD ELIMINATION & SAFETY

Solicitation ID: 0382-01-047_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/30/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: FALLS
HIGHWAY: SH 7, ETC
TYPE: HAZARD ELIMINATION & SAFETY
EST. COST: $1,860,743.16"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Hazard Elimination and Safety - 100,State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0016-10-025_0622,"0016-10-025_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, COMAL, ETC CO, HAZARD ELIMINATION & SAFETY

Solicitation ID: 0016-10-025_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/29/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: COMAL, ETC
HIGHWAY: BS 46-C, E
TYPE: HAZARD ELIMINATION & SAFETY
EST. COST: $2,117,035.34"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Reconstruct 2 Lane Rural to 4 Lane Divided,State/Local,,State of Texas 2,"Jun 30, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/2679-03-015_0622,"2679-03-015_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, COLLIN CO, RECONSTRUCT 2 LANE RURAL TO 4 LANE DIVIDED

Solicitation ID: 2679-03-015_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/30/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: COLLIN
HIGHWAY: FM 2514
TYPE: RECONSTRUCT 2 LANE RURAL TO 4 LANE DIVIDED
EST. COST: $43,369,775.96"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,"GR, Pavement, STR, Signs",State/Local,,State of Texas 2,"Jun 29, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/0451-03-013_0622,"0451-03-013_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, COLLIN CO, GR,PVMT,STR,SIGNS

Solicitation ID: 0451-03-013_0622

Status: Posted

Response Due Time: 1:00 PM

Agency/Texas SmartBuy Member Number: 601

Response Due Date: 6/29/2022

Solicitation Description:

COUNTY: COLLIN
HIGHWAY: SH 205
TYPE: GR,PVMT,STR,SIGNS
EST. COST: $28,528,624.50"
" Infrastructure: Bridges, Roads, Airports, Rails, Transit Bids",TX,Rehabilitate Existing Roadway - 050,State/Local,,State of Texas 2,"Jun 30, 2022",State of Texas 2,https://www.txsmartbuy.com/esbddetails/view/1392-01-050_0622,"1392-01-050_0622    		 ",,,,,,"STATE LET CONSTRUCTION CONTRACT, COLLIN CO, REHABILITATE EXISTING ROADWAY

Solicitation ID: 1392-01-050_0622

Status: Posted

Response Due Time: 1:00 PM

Response Due Date: 6/30/2022

Agency/Texas SmartBuy Member Number: 601

Solicitation Description:

COUNTY: COLLIN
HIGHWAY: FM 1378
TYPE: REHABILITATE EXISTING ROADWAY
EST. COST: $5,946,532.01"
